//used for generating opcodes info
//
//basic line layout is:
//<opname> <opnum> [args [flow]]
//where args is a string identifying what immediately follows the
//opcode. this is one of:
//	I, literal index
//	J, lexical variable index
//	A, relative address
//	N, numeric index (stack items, ...)
//	M, signed numeric index
//	S, symbolic index (special case of I)
//	T, string index (special case of I)
//	C, 8 bit signed byte
//	B, 8 bit unsigned byte
//	K, 16 bit signed short
//	W, 16 bit unsigned short
//	H, 16 bit fixed-point value (100 based)
//	G, 16 bit fixed-point value (10000 based)
//	D, Float (SVLI Pair, base, exp)
//	L, 32-bit integer
//	U, UVLI
//	V, SVLI
//	...
//
//flow:	in*=out*
//	vv=v	Consumes 2 values and outputs a value
//	!, non-local control flow (ends trace)
//		(may call/jump, likely to throw, may block)
//	@, start of trace.
//	?, may potentially throw exception.
//
//flow types:
//	v, generic variant value;
//	i, generic fixnum;
//	f, generic flonum;
//	b, bool (variant).
//	I, int
//	L/J, long
//	F, float
//	D, double
//flow special values:
//	w/x/y/z, named variant;
//	j/k/l, named fixnum;
//	g/h, named flonum.
//
//if args is absent, it is assumed that the opcode is coded by itself.


//0-15 base ops
NOP					0 -	=		//do nothing
BLOCK				1 -	=!		//blocks if limit!=0
DBGMARK				2 TN	=	//sets the filename and line number
CGENAST				3 I	-!		//syntax to be passed to code generator
FN					4 T =		//filename
JMP_L_FL		260 A ff=!	//f<g
JMP_G_FL		261 A ff=!	//f>g
JMP_LE_FL		262 A ff=!	//f<=g
JMP_GE_FL		263 A ff=!	//f>=g
JMP_E_LFN		264 JJA =!	//i==j
JMP_NE_LFN		265 JJA =!	//i!=j
JMP_L_LFN		266 JJA =!	//i<j
JMP_G_LFN		267 JJA =!	//i>j
JMP_LE_LFN		268 JJA =!	//i<=j
JMP_GE_LFN		269 JJA =!	//i>=j
JMP_E_ZFN		270 A i=!	//i==0
JMP_NE_ZFN		271 A i=!	//i!=0
JMP_L_ZFN		272 A i=!	//i<0
JMP_G_ZFN		273 A i=!	//i>0
JMP_LE_ZFN		274 A i=!	//i<=0
JMP_GE_ZFN		275 A i=!	//i>=0
JMP_E_LZFN		276 JA =!	//i==0
JMP_NE_LZFN		277 JA =!	//i!=0
JMP_L_LZFN		278 JA =!	//i<0
JMP_G_LZFN		279 JA =!	//i>0
JMP_LE_LZFN		280 JA =!	//i<=0
JMP_GE_LZFN		281 JA =!	//i>=0
JMP_E_FNC		282 CA i=!	//i==c
JMP_NE_FNC		283 CA i=!	//i!=c
JMP_L_FNC		284 CA i=!	//i<c
JMP_G_FNC		285 CA i=!	//i>c
JMP_LE_FNC		286 CA i=!	//i<=c
JMP_GE_FNC		287 CA i=!	//i>=c
JMP_E_LFNC		288 JCA =!	//i==c
JMP_NE_LFNC		289 JCA =!	//i!=c
JMP_L_LFNC		290 JCA =!	//i<c
JMP_G_LFNC		291 JCA =!	//i>c
JMP_LE_LFNC		292 JCA =!	//i<=c
JMP_GE_LFNC		293 JCA =!	//i>=c

//fixnum specific ops
INC_FN			294 - i=i	//i+1
DEC_FN			295 - i=i	//i-1
INC2_FN			296 - i=i	//i+2
DEC2_FN			297 - i=i	//i-2
ADD_FN			298 - ii=i	//i+j
SUB_FN			299 - ii=i	//i-j
MUL_FN			300 - ii=i	//i*j
DIV_FN			301 - ii=i	//i/j
IDIV_FN			302 - ii=i	//i\j
MOD_FN			303 - ii=i	//i%j
AND_FN			304 - ii=i	//i&j
OR_FN			305 - ii=i	//i|j
XOR_FN			306 - ii=i	//i^j
CMP_L_FN		307 - ii=b	//i<j
CMP_G_FN		308 - ii=b	//i>j
CMP_LE_FN		309 - ii=b	//i<=j
CMP_GE_FN		310 - ii=b	//i>=j
CMP_E_FN		311 - ii=b	//i==j
CMP_NE_FN		312 - ii=b	//i!=j
NEG_FN			313 - i=i	//-i
NOT_FN			314 - i=i	//~i
ADD_FN_C		315 B i=i	//i+c
SUB_FN_C		316 B i=i	//i-c
MUL_FN_C		317 B i=i	//i*c
CONV_FN2FL		318 - i=f	//convert fixnum to flonum (i+f, ...)
CONV_FL2FN		319 - f=i	//convert flonum to fixnum (int f, ...)
ADD_FL			320 - ff=f	//f+g
SUB_FL			321 - ff=f	//f-g
MUL_FL			322 - ff=f	//f*g
DIV_FL			323 - ff=f	//f/g
CMP_L_FL		324 - ff=b	//f<g
CMP_G_FL		325 - ff=b	//f>g
CMP_LE_FL		326 - ff=b	//f<=g
CMP_GE_FL		327 - ff=b	//f>=g
CMP_E_FL		328 - ff=b	//f==g
CMP_NE_FL		329 - ff=b	//f!=g
NEG_FL			330 - f=f	//-f
JMP_E_FN		331 A ii=	//i==j
JMP_NE_FN		332 A ii=	//i!=j
JMP_E_FL		333 A ff=	//f==g
JMP_NE_FL		334 A ff=	//f!=g
SHL_FN			335 - ii=i	//i<<j
SHR_FN			336 - ii=i	//i>>j
EXP_FN			337 - ii=i	//i**j
SHL_FN_C		338 B i=i	//i<<c
SHR_FN_C		339 B i=i	//i>>c
EXP_FN_C		340 B i=i	//i**c

// SHL_C			341 B v=v	//x<<c
// SHR_C			342 B v=v	//x>>c
// SHRR_C			343 B v=v	//x>>>c

PUSH_XF			341 D =f	//push float literal
PUSH_XD			342 D =f	//push double literal

SHRR			344 - xy=z	//x>>>y

LOADB_S			345 S =p?	//load variable reference
LOADINDEXA_S	346 S v=v?	//load slot address
LOADINDEXB_S	347 S v=v?	//load slot value or reference
LOADINDEXA_I	348 B v=v?	//load index address
LOADINDEXB_I	349 B v=v?	//load index value or reference
LLOADA			350 J =v	//load address (lexical env)
LLOADB			351 J =v	//load value or reference (lexical env)
UNARYOP_S		352 S v=v?	//named unary operation
BINARYOP_S		353 S vv=v?	//named binary operation

ASSERT			354 - v=v!	//trap if value is false
JOIN			355	- v=v!	//join on an async operation
MULTIJOIN		356	- M*=v!	//join on multiple async operations

UNARYINTRIN_S	357 S v=v?	//named unary intrinsic
BINARYINTRIN_S	358 S vv=v?	//named binary intrinsic
TRINARYINTRIN_S	359 S vv=v?	//named trinary intrinsic

// LXBLOAD		354 bJJ =v	//load 2 values from lex env and do binary op
// LXBSTORE		355 bJ v=	//store a value to lexical env, doing binary op
// LXBLOAD_FN	356 bJJ =v	//load 2 values from lex env and do binary op
// LXBSTORE_FN	357 bJ v=	//store a value to lexical env, doing binary op
// LXBLOAD_FL	358 bJJ =v	//load 2 values from lex env and do binary op
// LXBSTORE_FL	359 bJ v=	//store a value to lexical env, doing binary op
// LXBLOAD_FNC	360 bJK =v	//load values from lex env and do const binary op


CONV_FN2XI		360 - i=I	//fixnum to int32 (1)
CONV_FN2XL		361 - i=J	//fixnum to long (1)
CONV_FL2XF		362 - f=F	//flonum to float32 (1)
CONV_FL2XD		363 - f=D	//flonum to double (1)
CONV_XI2FN		364 - I=i	//int32 to fixnum
CONV_XL2FN		365 - J=i	//long to fixnum (2)
CONV_XF2FL		366 - F=f	//float32 to flonum
CONV_XD2FL		367 - D=f	//double to flonum (2)

ADD_C			368 V v=v	//add operator
SUB_C			369 V v=v	//sub operator
MUL_C			370 V v=v	//mul operator
DIV_C			371 V v=v	//div operator
MOD_C			372 V v=v	//mod operator
AND_C			373 V v=v	//and operator
OR_C			374 V v=v	//or operator
XOR_C			375 V v=v	//xor operator
SHL_C			376 V v=v	//x<<c
SHR_C			377 V v=v	//x>>c
SHRR_C			378 V v=v	//x>>>c

CMP_EQ_C		380 V x=b	//f==c
CMP_NE_C		381 V x=b	//f!=c
CMP_LT_C		382 V x=b	//f<c
CMP_GT_C		383 V x=b	//f>c
CMP_LE_C		384 V x=b	//f<=c
CMP_GE_C		385 V x=b	//f>=c
JMP_EQ_C		386 VA x=!	//i==c
JMP_NE_C		387 VA x=!	//i!=c
JMP_LT_C		388 VA x=!	//f<c
JMP_GT_C		389 VA x=!	//f>c
JMP_LE_C		390 VA x=!	//f<=c
JMP_GE_C		391 VA x=!	//f>=c
JMP_EQ_LC		392 JVA =!	//i==c
JMP_NE_LC		393 JVA =!	//i!=c
JMP_LT_LC		394 JVA =!	//f<c
JMP_GT_LC		395 JVA =!	//f>c
JMP_LE_LC		396 JVA =!	//f<=c
JMP_GE_LC		397 JVA =!	//f>=c

PF_HINT_XUBI	400 - =		//array type prefix (ubyte[*], int)
PF_HINT_XSBI	401 - =		//array type prefix (sbyte[*], int)
PF_HINT_XUSI	402 - =		//array type prefix (ushort[*], int)
PF_HINT_XSSI	403 - =		//array type prefix (sshort[*], int)
PF_HINT_XUDI	404 - =		//array type prefix (uint[*], int)
PF_HINT_XSDI	405 - =		//array type prefix (sint[*], int)
PF_HINT_XUDL	406 - =		//array type prefix (uint[*], long)
PF_HINT_XSDL	407 - =		//array type prefix (sint[*], long)
PF_HINT_XUBI_IX	408 - =		//array type prefix (ubyte[int], int)
PF_HINT_XSBI_IX	409 - =		//array type prefix (sbyte[int], int)
PF_HINT_XUSI_IX	410 - =		//array type prefix (ushort[int], int)
PF_HINT_XSSI_IX	411 - =		//array type prefix (sshort[int], int)
PF_HINT_XUDI_IX	412 - =		//array type prefix (uint[int], int)
PF_HINT_XSDI_IX	413 - =		//array type prefix (sint[int], int)
PF_HINT_XUDL_IX	414 - =		//array type prefix (uint[int], long)
PF_HINT_XSDL_IX	415 - =		//array type prefix (sint[int], long)
PF_HINT_XII		416 - =		//array type prefix (int[*]->int)
PF_HINT_XLL		417 - =		//array type prefix (long[*]->long)
PF_HINT_XFF		418 - =		//array type prefix (float[*]->float)
PF_HINT_XDD		419 - =		//array type prefix (double[*]->double)
PF_HINT_XII_IX	420 - =		//array type prefix (int[int]->int)
PF_HINT_XLL_IX	421 - =		//array type prefix (long[int]->long)
PF_HINT_XFF_IX	422 - =		//array type prefix (float[int]->float)
PF_HINT_XDD_IX	423 - =		//array type prefix (double[int]->double)
// PF_HINT_PTR		424 - =		//pointer (generic)
PF_HINT_IX		425 - =		//integer index
PF_HINT_FN		426 - =		//prefix hint (fixnum)
PF_HINT_FL		427 - =		//prefix hint (flonum)
PF_HINT_V2F		428 - =		//prefix hint (vec2)
PF_HINT_V3F		429 - =		//prefix hint (vec3)
PF_HINT_V4F		430 - =		//prefix hint (vec4)
PF_HINT_QUAT	431 - =		//prefix hint (quat)
PF_HINT_VOID	432 - =		//prefix hint (void)
PF_HINT_PVAR	433 - =		//prefix hint (void pointer)

PF_HINT_RESV2	434 - =		//reserved hint
PF_HINT_RESV3	435 - =		//reserved hint

CONV_XI2XL		436 - I=J	//
CONV_XI2XF		437 - I=F	//
CONV_XI2XD		438 - I=D	//
CONV_XL2XI		439 - J=I	//
CONV_XL2XF		440 - J=F	//
CONV_XL2XD		441 - J=D	//
CONV_XF2XI		442 - F=I	//
CONV_XF2XL		443 - F=J	//
CONV_XF2XD		444 - F=D	//
CONV_XD2XI		445 - D=I	//
CONV_XD2XL		446 - D=J	//
CONV_XD2XF		447 - D=F	//

EXCH_YXZ		448 - xyz=yxz
EXCH_YZX		449 - xyz=yzx
EXCH_ZXY		450 - xyz=zxy
EXCH_ZYX		451 - xyz=zyx

JMP_SWEQ		456 IA	v=v!	//jump to rel offset (switch-equal)
JMP_SWEQF		457 IA	v=v!	//jump to rel offset (switch-equal, fast)
JMP_SWDFL		458 A	v=!	//jump to rel offset (switch-default)
JMP_SWB			459 bIA	v=v!	//jump to rel offset (switch-binary)

JMP_U			462 A xy=!	//x<>y, jump if unordered
CMP_U			463 - xy=b	//x<>y, compare if unordered

JMP_EQ			464 A xy=!	//i==j
JMP_NE			465 A xy=!	//i!=j
JMP_LT			466 A xy=!	//f<g
JMP_GT			467 A xy=!	//f>g
JMP_LE			468 A xy=!	//f<=g
JMP_GE			469 A xy=!	//f>=g

CMP_EQ			470 - xy=b	//f==g
CMP_NE			471 - xy=b	//f!=g
CMP_LT			472 - xy=b	//f<g
CMP_GT			473 - xy=b	//f>g
CMP_LE			474 - xy=b	//f<=g
CMP_GE			475 - xy=b	//f>=g

JMP_EQQ			476 A xy=!	//x===y
CMP_EQQ			477 - xy=b	//x===y
JMP_NEQ			478 A xy=!	//x!==y
CMP_NEQ			479 - xy=b	//x!==y

EXCH_WXYZ		480 - wxyz=wxyz		//
EXCH_WXZY		481 - wxyz=wxzy		//
EXCH_WYXZ		482 - wxyz=wyxz		//
EXCH_WYZX		483 - wxyz=wyzx		//
EXCH_WZXY		484 - wxyz=wzxy		//
EXCH_WZYX		485 - wxyz=wzyx		//
EXCH_XWYZ		486 - wxyz=xwyz		//
EXCH_XWZY		487 - wxyz=xwzy		//
EXCH_XYWZ		488 - wxyz=xywz		//
EXCH_XYZW		489 - wxyz=xyzw		//
EXCH_XZWY		490 - wxyz=xzwy		//
EXCH_XZYW		491 - wxyz=xzyw		//
EXCH_YWXZ		492 - wxyz=ywxz		//
EXCH_YWZX		493 - wxyz=ywzx		//
EXCH_YXWZ		494 - wxyz=yxwz		//
EXCH_YXZW		495 - wxyz=yxzw		//
EXCH_YZWX		496 - wxyz=yzwx		//
EXCH_YZXW		497 - wxyz=yzxw		//
EXCH_ZWXY		498 - wxyz=zwxy		//
EXCH_ZWYX		499 - wxyz=zwyx		//
EXCH_ZXWY		500 - wxyz=zxwy		//
EXCH_ZXYW		501 - wxyz=zxyw		//
EXCH_ZYWX		502 - wxyz=zywx		//
EXCH_ZYXW		503 - wxyz=zyxw		//

SLEEP			504	- v=v!		//sleep (milliseconds)
SLEEP_SV		505	W =v!		//sleep constant (milliseconds)
UNQUOTE			506	- v=v!		//evaluate expression
LOCK_OBJ		507 - v=!		//lock object (generic)
UNLOCK_OBJ		508 - v=!		//unlock object (generic)
LOADMINDEX		509 - M*v=v?	//(deprecated) load multi-index
STOREMINDEX		510 - M*vv=?	//(deprecated) store multi-index
BINDPATTERN		511 - vv=?		//bind vars to a pattern

//512..543
BEGIN_PACKAGE	512 SS =v		//begin package (name, flags)
BEGIN_STRUCT	513 SSS =v		//begin struct
BEGIN_CLASS		514 SSS =v		//begin class (name, super, flags)
BEGIN_IFACE		515 SSS =v		//begin interface
END_PACKAGE		516 - v=w		//end package
END_STRUCT		517 - v=w		//end struct
END_CLASS		518 - v=w		//end class
END_IFACE		519 - v=w		//end interface
OFFSETOF		520 SS =i		//offsetof (type, slot)
SIZEOF			521 - v=i		//sizeof (expression)
SIZEOF_S		522 S =i		//sizeof (type)
NEWARRAY_S		523 S i=v		//create a new array
NEWMARRAY_S		524 S M*=v!		//create a new multi-dimensional array
CALL_THIS		525 - M*=v!		//call another constructor in "this"
CALL_SUPER		526 - M*=v!		//call another constructor in "super"

NEW				527 - M*v=w!	//create new object

PUSH_ERROR		528 - =v!		//push related to compiler error
POP_ERROR		529 - v=!		//pop related to compiler error
INSTANCEOF		530 - vw=b		//check if value is of a given type

LDJMP			531 A =v?		//load a jump-target address
JMPIA			532 - v=!		//jump to an indirect address
EXCH_TOP		533 - x=y?		//swap 'top' with value on stack
CALL_ASYNC		534	- M*v=v!	//call an async block
CALL_IFDEF		535	S M*v=v!	//call a block if S is defined
CALL_IFNDEF		536	S M*v=v!	//call a block if S is not defined

BEGIN_SYNC		537 - =!		//begin critical section
END_SYNC		538 - =!		//end critical section
BEGIN_SYNC_OBJ	539 - v=!		//lock object (via "synchronized")
END_SYNC_OBJ	540 - v=!		//unlock object (via "synchronized")

//Misc, relocated
// PUSHENV				642 - =		//push a new level of dynamic bindings
// POPENV				643 - =		//pop a level of dynamic bindings
// BEGINCC				644 A =v		//begin block with current continuation
// BEGINOBJ			645 A =		//begin a block with a new object
// FRAME				646 A =		//create a new frame

// DUP_R				655 B v=v	//copy an item on stack into a register
// DUP_RF				656 B v=v	//copy into a register (fast)
// PUSH_R				657 B =v	//push an item on the stack (reg)
// PUSH_RF				658 B =v	//push an item on the stack (reg, fast)
// POP_R				659 B v=	//pop an item from the stack (reg)

//Statically Typed Opcodes

// PF_HINT_V2F		684 - =		//prefix hint (vec2)
// PF_HINT_V3F		685 - =		//prefix hint (vec3)
// PF_HINT_V4F		686 - =		//prefix hint (vec4)
// PF_HINT_QUAT		687 - =		//prefix hint (quat)

PF_HINT_PUB		688 - =		//prefix hint (*byte)
PF_HINT_PSB		689 - =		//prefix hint (*sbyte)
PF_HINT_PUS		690 - =		//prefix hint (*ushort)
PF_HINT_PSS		691 - =		//prefix hint (*short)
PF_HINT_PUD		692 - =		//prefix hint (*uint)
PF_HINT_PSD		693 - =		//prefix hint (*int)
PF_HINT_PUL		694 - =		//prefix hint (*ulong)
PF_HINT_PSL		695 - =		//prefix hint (*long)
PF_HINT_PF		696 - =		//prefix hint (*float)
PF_HINT_PD		697 - =		//prefix hint (*double)
PF_HINT_PV		698 - =		//prefix hint (*void)
PF_HINT_PP		699 - =		//prefix hint (** -)
// PF_HINT_PTR		700 - =		//pointer (generic)
// PF_HINT_IX		701 - =		//integer index

// PF_HINT_FN		702 - =		//prefix hint (fixnum)
// PF_HINT_FL		703 - =		//prefix hint (flonum)


//array type prefixes / hints
// PF_HINT_XUBI	704 - =		//array type prefix (ubyte[*], int)
// PF_HINT_XSBI	705 - =		//array type prefix (sbyte[*], int)
// PF_HINT_XUSI	706 - =		//array type prefix (ushort[*], int)
// PF_HINT_XSSI	707 - =		//array type prefix (sshort[*], int)
// PF_HINT_XUDI	708 - =		//array type prefix (uint[*], int)
// PF_HINT_XSDI	709 - =		//array type prefix (sint[*], int)
// PF_HINT_XUDL	710 - =		//array type prefix (uint[*], long)
// PF_HINT_XSDL	711 - =		//array type prefix (sint[*], long)
// PF_HINT_XUBI_IX	712 - =		//array type prefix (ubyte[int], int)
// PF_HINT_XSBI_IX	713 - =		//array type prefix (sbyte[int], int)
// PF_HINT_XUSI_IX	714 - =		//array type prefix (ushort[int], int)
